interaction_id,filename,age,interaction_start,interaction_end,speaker,utterance_start,utterance_end,duration,norm_start,norm_end
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,CHI,136.999,137.515,0.516,0.0,0.023
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,FA1,137.717,138.383,0.666,0.032,0.062
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,CHI,139.58,139.861,0.281,0.116,0.128
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,FA1,141.478,142.326,0.848,0.201,0.239
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,CHI,143.041,143.799,0.758,0.271,0.305
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,FA2,143.995,144.63,0.635,0.313,0.342
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,FA1,145.132,146.06,0.928,0.364,0.406
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,CHI,152.362,153.248,0.886,0.688,0.728
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,CHI,153.781,154.617,0.836,0.752,0.789
COU_AM28_010709_12000000_12300000_random-10.eaf_0,COU_AM28_010709_12000000_12300000_random-10.eaf,19,136.999,159.317,CHI,157.144,159.317,2.173,0.903,1.0
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,0.709,3.083,2.374,0.0,0.026
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,9.614,11.519,1.905,0.097,0.117
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,12.155,14.836,2.681,0.124,0.154
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,16.976,18.876,1.9,0.177,0.197
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,20.11,21.911,1.801,0.211,0.23
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,22.743,25.096,2.353,0.239,0.265
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,26.096,26.665,0.569,0.276,0.282
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,30.477,31.572,1.095,0.324,0.335
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,32.74,35.079,2.339,0.348,0.374
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,35.726,38.397,2.671,0.381,0.41
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,38.684,39.134,0.45,0.413,0.418
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,45.759,45.925,0.166,0.49,0.491
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,47.266,51.363,4.097,0.506,0.551
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,MA1,51.832,52.267,0.435,0.556,0.56
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,54.011,56.811,2.8,0.579,0.61
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,57.885,60.373,2.488,0.621,0.648
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,60.956,62.785,1.829,0.655,0.675
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,68.564,69.466,0.902,0.737,0.747
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,MA1,71.909,73.161,1.252,0.774,0.787
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,73.402,76.87,3.468,0.79,0.828
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,78.133,79.814,1.681,0.841,0.86
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,81.264,82.284,1.02,0.875,0.887
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,82.618,84.672,2.054,0.89,0.913
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,MA1,84.498,85.462,0.964,0.911,0.921
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,FC1,86.672,87.449,0.777,0.934,0.943
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,FC1,87.599,88.5,0.901,0.944,0.954
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,87.634,88.257,0.623,0.945,0.951
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,88.712,89.304,0.592,0.956,0.963
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,FC1,89.421,89.8,0.379,0.964,0.968
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,CHI,90.844,92.039,1.195,0.98,0.993
COU_NF30_020511_5700000_6000000_random-18.eaf_0,COU_NF30_020511_5700000_6000000_random-18.eaf,29,0.709,92.72,FC1,92.278,92.72,0.442,0.995,1.0
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,102.814,103.847,1.033,0.0,0.023
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,103.904,104.85,0.946,0.024,0.045
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,105.609,106.363,0.754,0.061,0.078
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,106.753,107.429,0.676,0.086,0.101
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,FC1,106.897,108.259,1.362,0.089,0.119
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,108.32,109.55,1.23,0.12,0.147
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,112.1,112.804,0.704,0.203,0.219
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,113.726,117.309,3.583,0.239,0.317
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,121.787,123.765,1.978,0.415,0.458
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,127.486,129.304,1.818,0.54,0.579
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,128.885,129.786,0.901,0.57,0.59
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,129.815,131.57,1.755,0.591,0.629
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,130.371,130.658,0.287,0.603,0.609
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,131.556,132.205,0.649,0.629,0.643
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,132.365,133.128,0.763,0.646,0.663
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,132.985,133.268,0.283,0.66,0.666
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,134.442,136.601,2.159,0.692,0.739
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,136.484,137.922,1.438,0.736,0.768
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,138.664,139.124,0.46,0.784,0.794
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,FC1,138.952,139.624,0.672,0.79,0.805
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,140.275,141.237,0.962,0.819,0.84
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,142.341,143.018,0.677,0.865,0.879
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,143.264,144.525,1.261,0.885,0.912
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,MA1,144.683,145.369,0.686,0.916,0.931
COU_NF30_020511_5700000_6000000_random-18.eaf_1,COU_NF30_020511_5700000_6000000_random-18.eaf,29,102.814,148.534,CHI,147.577,148.534,0.957,0.979,1.0
